CLASS HABITAT-TYPE-GROUP
NAME B3
HABITAT-TYPES 250:280:281:283:292
CLIMAX-SPECIES DF:PP
SERAL-SPECIES DF:PP:LP:CW:ES
END

CLASS ALL-VEG-TYPES
553
NS,NS,1,1,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:UPLAND-GRASSES/CLOSED-HERB/1:0,L-DF-GF:24:250:LATE-SERAL:11:268:WP:12:144:DF-PP-GF:19:267:CW:11:235:L:9:231:L-DF-LP:9:241:PP-DF:5:213:L-PP:2:197:DF-PP-LP:2:124:DF-PP:2:170:NS:167:43:L-LP-GF:13:269:DF-RRWP-GF:18:260:QA:12:235:RRWP:9:151:ES:18:220:L-GF:12:227:DF-GF:35:325:L-DF:11:234:PP:2:148:L-LP:8:229:DF-LP:4:279:L-PP-LP:12:169:PF:10:226:L-DF-PP:4:195:DF-RRWP:33:254:DF-WP:14:247:AGR:301:298:DF-WP-GF:17:256:EARLY-SERAL:11:276:GF:10:239:ES-LP:21:235:DF:1:131:LP:19:245
ES,PTS,3,3,LIGHT-SEVERITY-FIRE:ES/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/MMU/3:0,ES:200:170
ES-LP,PTS,1,4,LIGHT-SEVERITY-FIRE:ES-LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/POLE/3:0:SUCCESSION:ES-LP/PTS2/4:0,ES-LP:180:280
ES-LP,PTS,1,3,LIGHT-SEVERITY-FIRE:ES-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:ES-LP/PTS2/3:0,ES-LP:180:150
ES-LP,PTS,1,2,LIGHT-SEVERITY-FIRE:ES-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:ES-LP/MTS/3:0,ES-LP:180:20
PP,SS,3,4,LIGHT-SEVERITY-FIRE:PP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:SUCCESSION:PP/POLE/4:0,PP:60:300
ES-LP,LTS,1,4,LIGHT-SEVERITY-FIRE:ES-LP/LTS/3:0:SEVERE-WSBW:ES-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES-LP/LTS/3:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:ES-LP/LTS/3:0:SPRUCE-BEETLE:ES-LP/LMU/2:0:SEVERE-LP-MPB:ES-LP/LTS/3:0:LIGHT-LP-MPB:ES-LP/LTS/3:0,DF:632:430:ES-LP:610:280
PP,SS,3,3,LIGHT-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:SUCCESSION:PP-DF/POLE/3:0,PP:60:170
ES-LP,LTS,1,3,LIGHT-SEVERITY-FIRE:ES-LP/LTS/2:0:SEVERE-WSBW:ES-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES-LP/LMU/3:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:ES-LP/LMU/3:0:SPRUCE-BEETLE:PP/LMU/2:0:SEVERE-LP-MPB:ES-LP/LMU/2:0:LIGHT-LP-MPB:ES-LP/LMU/2:0,ES-LP:610:150
PP,SS,3,2,LIGHT-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:SUCCESSION:PP-DF/POLE/2:0,PP:60:40
ES-LP,LTS,1,2,LIGHT-SEVERITY-FIRE:ES-LP/LTS/2:0:SEVERE-WSBW:ES-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES-LP/LMU/2:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:ES-LP/LMU/2:0:SPRUCE-BEETLE:ES-LP/LMU/2:0:SEVERE-LP-MPB:ES-LP/LMU/3:0:LIGHT-LP-MPB:ES-LP/LMU/3:0,ES-LP:610:20
QA-MC,POLE,2,4,LIGHT-SEVERITY-FIRE:QA/SS/3:0:STAND-REPLACING-FIRE:QA/SS/3:0:MIXED-SEVERITY-FIRE:QA/SS/3:0:SUCCESSION:QA-MC/MEDIUM/4:0,QA:285:363:QA-MC:145:290
DF-LP,LMU,13,4,LIGHT-SEVERITY-FIRE:DF-LP/LARGE/3:0:SEVERE-WSBW:DF-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/MMU/2:0:LIGHT-WSBW:DF/VLMU/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/VLMU/3:0:SUCCESSION:DF/VLMU/4:0:SEVERE-LP-MPB:DF/VLMU/3:0:LIGHT-LP-MPB:DF/VLMU/3:0,DF-LP:810:400
QA-MC,POLE,2,3,LIGHT-SEVERITY-FIRE:QA/SS/3:0:STAND-REPLACING-FIRE:QA/SS/3:0:MIXED-SEVERITY-FIRE:QA/SS/3:0:SUCCESSION:QA-MC/MEDIUM/4:0,QA:273:218:QA-MC:145:160
QA-MC,POLE,2,2,LIGHT-SEVERITY-FIRE:QA/SS/2:0:STAND-REPLACING-FIRE:QA/SS/2:0:MIXED-SEVERITY-FIRE:QA/SS/2:0:SUCCESSION:QA-MC/MEDIUM/3:0,QA-MC:145:30
ES-LP,POLE,2,4,LIGHT-SEVERITY-FIRE:ES-LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/POLE/3:0:SUCCESSION:ES-LP/POLE3/4:0,ES-LP:145:290
DF-PP-LP,LMU,1,4,LIGHT-SEVERITY-FIRE:PP-DF/LMU/4:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/LARGE/2:0:DF-BEETLE:DF-PP-LP/LMU/2:0:SUCCESSION:DF-PP-LP/LMU2/4:0:SEVERE-LP-MPB:PP-DF/LARGE/2:0:LIGHT-LP-MPB:PP-DF/LARGE/3:0,DF-PP-PP:469:213:DF-PP-LP:690:280
ES-LP,POLE,2,3,LIGHT-SEVERITY-FIRE:ES-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:ES-LP/POLE/4:0,ES-LP:145:160
PP,POLE,3,4,LIGHT-SEVERITY-FIRE:PP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:SUCCESSION:PP/MEDIUM/4:0,DF-PP:192:37:PP-DF:187:52:PP:155:300
DF-PP-LP,LMU,1,3,LIGHT-SEVERITY-FIRE:PP-DF/LMU/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/LARGE/2:0:DF-BEETLE:DF-PP-LP/LMU/2:0:SUCCESSION:DF-PP-LP/LMU2/3:0:SEVERE-LP-MPB:PP-DF/LARGE/2:0:LIGHT-LP-MPB:PP-DF/LARGE/3:0,DF-PP-PP:462:136:DF-PP-LP:690:150
ES-LP,MTS,2,4,LIGHT-SEVERITY-FIRE:ES-LP/LARGE/4:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/LMU/4:0:MIXED-SEVERITY-FIRE:LP/LARGE/3:0:SUCCESSION:ES-LP/LMU/4:0:SPRUCE-BEETLE:LP/LMU/2:0:SEVERE-LP-MPB:ES-LP/LMU/3:0:LIGHT-LP-MPB:ES-LP/LMU/3:0,ES-LP:390:290
ES-LP,POLE,2,2,LIGHT-SEVERITY-FIRE:ES-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:ES-LP/POLE3/2:0,ES-LP:145:30
DF-PP-LP,LMU,1,2,LIGHT-SEVERITY-FIRE:PP-DF/LMU/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/LARGE/2:0:DF-BEETLE:DF-PP-LP/LMU/2:0:SUCCESSION:DF-PP-LP/LMU/3:0:SEVERE-LP-MPB:PP-DF/LARGE/2:0:LIGHT-LP-MPB:PP-DF/LARGE/3:0,DF-PP-PP:451:18:DF-PP-LP:690:20
ES-LP,MTS,2,3,LIGHT-SEVERITY-FIRE:ES-LP/LARGE/3:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/LMU/4:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:ES-LP/LMU/4:0:SPRUCE-BEETLE:LP/LMU/2:0:SEVERE-LP-MPB:ES-LP/LMU/2:0:LIGHT-LP-MPB:ES-LP/LMU/2:0,ES-LP:390:160
LP,POLE,2,4,LIGHT-SEVERITY-FIRE:LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:LP/POLE3/4:0,LP:145:290
LP,POLE,2,3,LIGHT-SEVERITY-FIRE:LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:LP/POLE3/3:0,LP:145:160
PP,LMU,2,4,LIGHT-SEVERITY-FIRE:PP/LMU3/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU2/2:0:SUCCESSION:PP/LMU3/4:0,PP:700:290
PP,LMU,2,3,LIGHT-SEVERITY-FIRE:PP/LMU3/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU2/2:0:SUCCESSION:PP/LMU3/3:0,PP:700:160
PP,LMU,2,2,LIGHT-SEVERITY-FIRE:PP/LMU3/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU2/2:0:SUCCESSION:PP-DF/LMU/3:0,PP:700:30
LP,MTS,2,3,LIGHT-SEVERITY-FIRE:LP/MTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:LP/MTS3/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/MEDIUM/2:0,LP:390:160
PP-DF,LMU,4,4,LIGHT-SEVERITY-FIRE:PP-DF/LMU3/3:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/LMU5/4:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LMU/3:0:SUCCESSION:PP-DF/LMU5/4:0,PP-DF:720:310
PP-DF,LMU,4,3,LIGHT-SEVERITY-FIRE:PP-DF/LMU/2:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/LMU5/3:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LMU/3:0:SUCCESSION:PP-DF/LMU5/3:0,PP-DF:720:180
DF-PP-LP,POLE,1,4,LIGHT-SEVERITY-FIRE:DF-PP-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/POLE/3:0:SUCCESSION:DF-PP-LP/PTS/4:0,DF-PP-PP:185:187:DF-PP-LP:135:280
DF-PP-LP,POLE,1,3,LIGHT-SEVERITY-FIRE:DF-PP-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/POLE/2:0:SUCCESSION:DF-PP-LP/PTS/3:0,DF-PP-PP:173:114:DF-PP-LP:135:150
DF-PP-LP,POLE,1,2,LIGHT-SEVERITY-FIRE:DF-PP-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/POLE/2:0:SUCCESSION:DF-PP-LP/PTS/2:0,DF-PP-PP:179:8:DF-PP-LP:135:20
DF-PP-LP,SS,3,4,LIGHT-SEVERITY-FIRE:DF-PP-LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/POLE/2:0:SUCCESSION:DF-PP-LP/PTS/4:0,DF-PP-PP:85:204:DF-PP-LP:60:300
DF-PP-LP,SS,3,3,LIGHT-SEVERITY-FIRE:DF-PP-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/POLE/2:0:SUCCESSION:DF-PP-LP/PTS/3:0,DF-PP-PP:90:130:DF-PP-LP:60:170
DF-PP-LP,SS,3,2,LIGHT-SEVERITY-FIRE:DF-PP-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/POLE/2:0:SUCCESSION:DF-PP-LP/PTS/3:0,DF-PP-PP:90:30:DF-PP-LP:60:40
DF,MEDIUM,2,4,LIGHT-SEVERITY-FIRE:DF/LARGE/3:0:SEVERE-WSBW:DF/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/LTS/3:0:LIGHT-WSBW:DF/LTS/4:0:MIXED-SEVERITY-FIRE:DF/MEDIUM2/3:0:SUCCESSION:DF/LTS/4:0,DF:325:290
DF,MEDIUM,2,3,LIGHT-SEVERITY-FIRE:DF/LARGE/2:0:SEVERE-WSBW:DF/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/LTS/2:0:LIGHT-WSBW:DF/LTS/3:0:MIXED-SEVERITY-FIRE:DF/MEDIUM2/2:0:SUCCESSION:DF/LTS/3:0,DF:325:160
DF,MEDIUM,2,2,LIGHT-SEVERITY-FIRE:DF/LARGE/2:0:SEVERE-WSBW:DF/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/LTS/2:0:LIGHT-WSBW:DF/LTS/3:0:MIXED-SEVERITY-FIRE:DF/MEDIUM2/2:0:SUCCESSION:DF/LTS/3:0,DF:325:30
CW-MC,POLE,1,4,LIGHT-SEVERITY-FIRE:PP-DF/SS/3:0:STAND-REPLACING-FIRE:CW-MC/SS/3:0:MIXED-SEVERITY-FIRE:PP-DF/SS/3:0:SUCCESSION:CW-MC/POLE2/4:0,CW-MC:135:280
CW-MC,POLE,1,3,LIGHT-SEVERITY-FIRE:PP-DF/SS/3:0:STAND-REPLACING-FIRE:CW-MC/SS/3:0:MIXED-SEVERITY-FIRE:PP-DF/SS/3:0:SUCCESSION:CW-MC/POLE2/4:0,CW-MC:135:150
CW-MC,POLE,1,2,LIGHT-SEVERITY-FIRE:PP-DF/SS/2:0:STAND-REPLACING-FIRE:CW-MC/SS/2:0:MIXED-SEVERITY-FIRE:PP-DF/SS/2:0:SUCCESSION:CW-MC/POLE2/3:0,CW-MC:135:20
QA-MC,SS,2,4,LIGHT-SEVERITY-FIRE:QA/SS/3:0:STAND-REPLACING-FIRE:QA/SS/3:0:MIXED-SEVERITY-FIRE:QA/SS/3:0:SUCCESSION:QA-MC/POLE/4:0,QA:91:343:QA-MC:50:290
QA-MC,SS,2,3,LIGHT-SEVERITY-FIRE:QA/SS/3:0:STAND-REPLACING-FIRE:QA/SS/3:0:MIXED-SEVERITY-FIRE:QA/SS/3:0:SUCCESSION:QA-MC/POLE/4:0,QA:92:188:QA-MC:50:160
QA-MC,SS,2,2,LIGHT-SEVERITY-FIRE:QA/SS/2:0:STAND-REPLACING-FIRE:QA/SS/2:0:MIXED-SEVERITY-FIRE:QA/SS/2:0:SUCCESSION:QA-MC/POLE/3:0,QA-MC:50:30
LP,MEDIUM,2,3,LIGHT-SEVERITY-FIRE:LP/MTS2/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:LP/MEDIUM3/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/MEDIUM/3:0,LP:325:160
QA-MC,MEDIUM,2,4,LIGHT-SEVERITY-FIRE:QA/SS/3:0:STAND-REPLACING-FIRE:QA/SS/3:0:MIXED-SEVERITY-FIRE:QA/SS/3:0:SUCCESSION:QA-MC/LARGE/4:0,QA:485:369:QA-MC:325:290
QA-MC,MEDIUM,2,3,LIGHT-SEVERITY-FIRE:QA/SS/3:0:STAND-REPLACING-FIRE:QA/SS/3:0:MIXED-SEVERITY-FIRE:QA/SS/3:0:SUCCESSION:QA-MC/LARGE/4:0,QA:475:207:QA-MC:325:160
QA-MC,MEDIUM,2,2,LIGHT-SEVERITY-FIRE:QA/SS/2:0:STAND-REPLACING-FIRE:QA/SS/2:0:MIXED-SEVERITY-FIRE:QA/SS/2:0:SUCCESSION:QA-MC/LARGE/3:0,QA-MC:325:30
DF-PP-LP,MMU,2,3,LIGHT-SEVERITY-FIRE:DF-PP-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/MEDIUM/2:0:SUCCESSION:DF-PP-LP/MMU3/3:0:SEVERE-LP-MPB:PP-DF/MEDIUM/2:0:LIGHT-LP-MPB:PP-DF/MEDIUM/3:0,DF-PP-PP:338:132:DF-PP-LP:465:160
PP-DF,PTS,2,3,LIGHT-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/PMU/2:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:SUCCESSION:PP-DF/MMU/4:0,PP-DF:190:160:PP:190:274
PP-DF,PTS,2,2,LIGHT-SEVERITY-FIRE:PP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/PMU/2:0:MIXED-SEVERITY-FIRE:PP/MEDIUM/2:0:SUCCESSION:PP-DF/MMU/3:0,PP-DF:190:30:PP:194:98
DF,VERY-LARGE,1,4,LIGHT-SEVERITY-FIRE:DF/VLTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/VLTS/3:0:LIGHT-WSBW:DF/VLTS/4:0:MIXED-SEVERITY-FIRE:DF/VERY-LARGE/2:0:DF-BEETLE:DF/VLTS/3:0:SUCCESSION:DF/VLTS/4:0,DF:780:280
DF,VERY-LARGE,1,3,LIGHT-SEVERITY-FIRE:DF/VLTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/VLTS/2:0:LIGHT-WSBW:DF/VLTS/3:0:MIXED-SEVERITY-FIRE:DF/VERY-LARGE/2:0:DF-BEETLE:DF/VLTS/2:0:SUCCESSION:DF/VLTS/3:0,EARLY-SERAL:620:147:DF:780:150:LATE-SERAL:561:188
QA-MC,SS,1,4,LIGHT-SEVERITY-FIRE:QA/SS/3:0:STAND-REPLACING-FIRE:QA/SS/3:0:MIXED-SEVERITY-FIRE:QA/SS/3:0:SUCCESSION:QA-MC/SS2/4:0,QA-MC:40:280
DF,VERY-LARGE,1,2,LIGHT-SEVERITY-FIRE:DF/VLTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/VLTS/2:0:LIGHT-WSBW:DF/VLTS/2:0:MIXED-SEVERITY-FIRE:DF/VERY-LARGE/2:0:DF-BEETLE:DF/VLTS/2:0:SUCCESSION:DF/VLTS/2:0,EARLY-SERAL:642:79:L-DF:815:78:DF:780:20:LATE-SERAL:621:33
QA-MC,SS,1,3,LIGHT-SEVERITY-FIRE:QA/SS/3:0:STAND-REPLACING-FIRE:QA/SS/3:0:MIXED-SEVERITY-FIRE:QA/SS/3:0:SUCCESSION:QA-MC/SS2/4:0,QA-MC:40:150
QA-MC,SS,1,2,LIGHT-SEVERITY-FIRE:QA/SS/2:0:STAND-REPLACING-FIRE:QA/SS/2:0:MIXED-SEVERITY-FIRE:QA/SS/2:0:SUCCESSION:QA-MC/SS2/3:0,QA-MC:40:20
ES-LP,LMU,4,4,LIGHT-SEVERITY-FIRE:ES-LP/LARGE/3:0:SEVERE-WSBW:ES/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES/LMU/4:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:ES/LMU/4:0:SPRUCE-BEETLE:LP/MTS/2:0:SEVERE-LP-MPB:ES/LMU/3:0:LIGHT-LP-MPB:ES/LMU/3:0,ES-LP:720:310
DF-LP,LARGE,1,4,LIGHT-SEVERITY-FIRE:DF-LP/LARGE/4:0:SEVERE-WSBW:DF-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/LMU/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/3:0:DF-BEETLE:DF-LP/LMU/2:0:SUCCESSION:DF-LP/LMU/4:0:SEVERE-LP-MPB:DF-LP/LMU/3:0:LIGHT-LP-MPB:DF-LP/LMU/3:0,DF-LP:530:280
DF-LP,LMU,3,4,LIGHT-SEVERITY-FIRE:DF-LP/LARGE/3:0:SEVERE-WSBW:DF-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/LMU4/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF-LP/LMU/2:0:SUCCESSION:DF-LP/LMU4/4:0:SEVERE-LP-MPB:DF-LP/LMU/3:0:LIGHT-LP-MPB:DF-LP/LMU/3:0,DF-LP:710:300
DF-LP,LARGE,1,3,LIGHT-SEVERITY-FIRE:DF-LP/LARGE/3:0:SEVERE-WSBW:DF-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/LMU/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF-LP/LMU/2:0:SUCCESSION:DF-LP/LMU/4:0:SEVERE-LP-MPB:DF-LP/LMU/2:0:LIGHT-LP-MPB:DF-LP/LMU/2:0,DF-LP:530:150
DF-LP,LARGE,1,2,LIGHT-SEVERITY-FIRE:DF-LP/LARGE/2:0:SEVERE-WSBW:DF-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/LMU/3:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF-LP/LMU/2:0:SUCCESSION:DF-LP/LMU/3:0:SEVERE-LP-MPB:DF-LP/LMU/2:0:LIGHT-LP-MPB:DF-LP/LMU/2:0,DF-LP:530:20:L-LP-DF-AF:601:33
QA,POLE,2,4,LIGHT-SEVERITY-FIRE:QA/LMU/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:QA/LMU/3:0:SUCCESSION:QA/MEDIUM/4:0,QA:145:290
QA,POLE,2,3,LIGHT-SEVERITY-FIRE:QA/LMU/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:QA/LMU/3:0:SUCCESSION:QA/MEDIUM/4:0,QA:145:160
QA,POLE,2,2,LIGHT-SEVERITY-FIRE:QA/LMU/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:QA/LMU/2:0:SUCCESSION:QA/MEDIUM/3:0,QA:145:30
ES-LP,MEDIUM,4,4,LIGHT-SEVERITY-FIRE:ES-LP/MEDIUM/3:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/MEDIUM5/4:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:ES-LP/MEDIUM5/4:0:SEVERE-LP-MPB:ES-LP/MEDIUM/3:0:LIGHT-LP-MPB:ES-LP/MEDIUM/3:0,ES-LP:345:310
